Input-node Gene Symbol,Input-node GeneID,Output-node Gene Symbol,Output-node GeneID,Edge direction score
MYD88,4615,STAP2,55620,0.967
LMNA,4000,FOS,2353,0.984
CALM1,801,NRGN,4900,0.821
PTPRM,5797,PTPRK,5796,0.77
BCL2L1,598,PPP1CA,5499,0.901
CREBBP,1387,EP300,2033,0.902
GNA12,2768,GNB1,2782,0.963
CASK,8573,KCNJ12,3768,0.951
ACTN2,88,MED14,9282,0.984
PTMA,5757,RAN,5901,0.64
IGSF1,3547,ACVR2A,92,0.895
SST,6750,SSTR2,6752,0.692
HNF4A,3172,SUB1,10923,0.984
IRS2,8660,ATP2A2,488,0.8
PAK2,5062,EIF4B,1975,0.732
TRAF4,9618,PLSCR1,5359,0.743
CCNK,8812,CCDC85B,11007,0.902
IGHM,3507,SH3GL2,6456,0.901
OLFM2,93145,GNB5,10681,0.951
HRAS,3265,RASSF5,83593,0.984
PDCD5,9141,ACP5,54,0.558
ACVR1,90,DUSP13,51207,0.743
ACTL6A,86,POLR2A,5430,0.952
BMP2,650,ASCL1,429,0.984
AR,367,HMGB1,3146,0.902
CASP3,836,DCTN1,1639,0.951
CTSD,1509,CTSB,1508,0.532
PTPN11,5781,PLCG1,5335,0.962
RPS6KA3,6197,CREB1,1385,0.984
CDC42,998,CDC42EP1,11135,0.951
CDC42,998,TRIP10,9322,0.952
RAB11A,8766,RAB3IL1,5866,0.798
PSEN1,5663,CIB1,10519,0.862
GIT1,28964,C1orf103,55791,0.951
FADD,8772,DAPK1,1612,0.743
SMC3,9126,MXD1,4084,0.896
NFKB1,4790,NFKBIB,4793,0.823
UCP2,7351,YWHAB,7529,0.895
